Country or Area,Year,Sex,Age,Educational attainment,Value
Israel,2022,Both Sexes,15 - 19,"ISCED 2011, No education",8101
Israel,2022,Both Sexes,15 - 19,"ISCED 2011, level 2 – Lower secondary education",509085
Israel,2022,Both Sexes,15 - 19,"ISCED 2011, level 3 – Upper secondary education",210353
Israel,2022,Both Sexes,15 - 19,"ISCED 2011, level 5 – Short-cycle tertiary education",417
Israel,2022,Both Sexes,15 - 19,"ISCED 2011, level 6 – Bachelor’s or equivalent level",0
Israel,2022,Both Sexes,15 - 19,"ISCED 2011, level 7 – Master’s or equivalent level",0
Israel,2022,Both Sexes,15 - 19,"ISCED 2011, level 8 – Doctoral or equivalent level",0
Israel,2022,Both Sexes,15 - 19,"ISCED 2011, Unknown",298
Israel,2022,Both Sexes,15 - 19,"ISCED 2011, Total",728255
Israel,2022,Both Sexes,20 - 24,"ISCED 2011, No education",5940
Israel,2022,Both Sexes,20 - 24,"ISCED 2011, level 2 – Lower secondary education",55302
Israel,2022,Both Sexes,20 - 24,"ISCED 2011, level 3 – Upper secondary education",570018
Israel,2022,Both Sexes,20 - 24,"ISCED 2011, level 5 – Short-cycle tertiary education",25846
Israel,2022,Both Sexes,20 - 24,"ISCED 2011, level 6 – Bachelor’s or equivalent level",23343
Israel,2022,Both Sexes,20 - 24,"ISCED 2011, level 7 – Master’s or equivalent level",569
Israel,2022,Both Sexes,20 - 24,"ISCED 2011, level 8 – Doctoral or equivalent level",0
Israel,2022,Both Sexes,20 - 24,"ISCED 2011, Unknown",861
Israel,2022,Both Sexes,20 - 24,"ISCED 2011, Total",681880
Israel,2022,Both Sexes,25 - 29,"ISCED 2011, No education",7037
Israel,2022,Both Sexes,25 - 29,"ISCED 2011, level 2 – Lower secondary education",61130
Israel,2022,Both Sexes,25 - 29,"ISCED 2011, level 3 – Upper secondary education",369128
Israel,2022,Both Sexes,25 - 29,"ISCED 2011, level 5 – Short-cycle tertiary education",37554
Israel,2022,Both Sexes,25 - 29,"ISCED 2011, level 6 – Bachelor’s or equivalent level",126258
Israel,2022,Both Sexes,25 - 29,"ISCED 2011, level 7 – Master’s or equivalent level",19179
Israel,2022,Both Sexes,25 - 29,"ISCED 2011, level 8 – Doctoral or equivalent level",131
Israel,2022,Both Sexes,25 - 29,"ISCED 2011, Unknown",1824
Israel,2022,Both Sexes,25 - 29,"ISCED 2011, Total",622240
Israel,2022,Both Sexes,30 - 34,"ISCED 2011, No education",8366
Israel,2022,Both Sexes,30 - 34,"ISCED 2011, level 2 – Lower secondary education",59000
Israel,2022,Both Sexes,30 - 34,"ISCED 2011, level 3 – Upper secondary education",268398
Israel,2022,Both Sexes,30 - 34,"ISCED 2011, level 5 – Short-cycle tertiary education",37728
Israel,2022,Both Sexes,30 - 34,"ISCED 2011, level 6 – Bachelor’s or equivalent level",164481
Israel,2022,Both Sexes,30 - 34,"ISCED 2011, level 7 – Master’s or equivalent level",58008
Israel,2022,Both Sexes,30 - 34,"ISCED 2011, level 8 – Doctoral or equivalent level",1540
Israel,2022,Both Sexes,30 - 34,"ISCED 2011, Unknown",2122
Israel,2022,Both Sexes,30 - 34,"ISCED 2011, Total",599643
Israel,2022,Both Sexes,35 - 39,"ISCED 2011, No education",8329
Israel,2022,Both Sexes,35 - 39,"ISCED 2011, level 2 – Lower secondary education",57907
Israel,2022,Both Sexes,35 - 39,"ISCED 2011, level 3 – Upper secondary education",237954
Israel,2022,Both Sexes,35 - 39,"ISCED 2011, level 5 – Short-cycle tertiary education",36678
Israel,2022,Both Sexes,35 - 39,"ISCED 2011, level 6 – Bachelor’s or equivalent level",151498
Israel,2022,Both Sexes,35 - 39,"ISCED 2011, level 7 – Master’s or equivalent level",78527
Israel,2022,Both Sexes,35 - 39,"ISCED 2011, level 8 – Doctoral or equivalent level",3997
Israel,2022,Both Sexes,35 - 39,"ISCED 2011, Unknown",2562
Israel,2022,Both Sexes,35 - 39,"ISCED 2011, Total",577452
Israel,2022,Both Sexes,40 - 44,"ISCED 2011, No education",10039
Israel,2022,Both Sexes,40 - 44,"ISCED 2011, level 2 – Lower secondary education",71721
Israel,2022,Both Sexes,40 - 44,"ISCED 2011, level 3 – Upper secondary education",205113
Israel,2022,Both Sexes,40 - 44,"ISCED 2011, level 5 – Short-cycle tertiary education",40120
Israel,2022,Both Sexes,40 - 44,"ISCED 2011, level 6 – Bachelor’s or equivalent level",125213
Israel,2022,Both Sexes,40 - 44,"ISCED 2011, level 7 – Master’s or equivalent level",80440
Israel,2022,Both Sexes,40 - 44,"ISCED 2011, level 8 – Doctoral or equivalent level",6664
Israel,2022,Both Sexes,40 - 44,"ISCED 2011, Unknown",3191
Israel,2022,Both Sexes,40 - 44,"ISCED 2011, Total",542502
Israel,2022,Both Sexes,45 - 49,"ISCED 2011, No education",14334
Israel,2022,Both Sexes,45 - 49,"ISCED 2011, level 2 – Lower secondary education",68834
Israel,2022,Both Sexes,45 - 49,"ISCED 2011, level 3 – Upper secondary education",208842
Israel,2022,Both Sexes,45 - 49,"ISCED 2011, level 5 – Short-cycle tertiary education",45119
Israel,2022,Both Sexes,45 - 49,"ISCED 2011, level 6 – Bachelor’s or equivalent level",105730
Israel,2022,Both Sexes,45 - 49,"ISCED 2011, level 7 – Master’s or equivalent level",77542
Israel,2022,Both Sexes,45 - 49,"ISCED 2011, level 8 – Doctoral or equivalent level",6695
Israel,2022,Both Sexes,45 - 49,"ISCED 2011, Unknown",6354
Israel,2022,Both Sexes,45 - 49,"ISCED 2011, Total",533452
Israel,2022,Both Sexes,50 - 54,"ISCED 2011, No education",14298
Israel,2022,Both Sexes,50 - 54,"ISCED 2011, level 2 – Lower secondary education",62637
Israel,2022,Both Sexes,50 - 54,"ISCED 2011, level 3 – Upper secondary education",182500
Israel,2022,Both Sexes,50 - 54,"ISCED 2011, level 5 – Short-cycle tertiary education",43960
Israel,2022,Both Sexes,50 - 54,"ISCED 2011, level 6 – Bachelor’s or equivalent level",79630
Israel,2022,Both Sexes,50 - 54,"ISCED 2011, level 7 – Master’s or equivalent level",64673
Israel,2022,Both Sexes,50 - 54,"ISCED 2011, level 8 – Doctoral or equivalent level",5805
Israel,2022,Both Sexes,50 - 54,"ISCED 2011, Unknown",9197
Israel,2022,Both Sexes,50 - 54,"ISCED 2011, Total",462701
Israel,2022,Both Sexes,55 - 59,"ISCED 2011, No education",15179
Israel,2022,Both Sexes,55 - 59,"ISCED 2011, level 2 – Lower secondary education",62731
Israel,2022,Both Sexes,55 - 59,"ISCED 2011, level 3 – Upper secondary education",151560
Israel,2022,Both Sexes,55 - 59,"ISCED 2011, level 5 – Short-cycle tertiary education",42350
Israel,2022,Both Sexes,55 - 59,"ISCED 2011, level 6 – Bachelor’s or equivalent level",62635
Israel,2022,Both Sexes,55 - 59,"ISCED 2011, level 7 – Master’s or equivalent level",52582
Israel,2022,Both Sexes,55 - 59,"ISCED 2011, level 8 – Doctoral or equivalent level",4840
Israel,2022,Both Sexes,55 - 59,"ISCED 2011, Unknown",9724
Israel,2022,Both Sexes,55 - 59,"ISCED 2011, Total",401600
Israel,2022,Both Sexes,60 - 64,"ISCED 2011, No education",16189
Israel,2022,Both Sexes,60 - 64,"ISCED 2011, level 2 – Lower secondary education",68671
Israel,2022,Both Sexes,60 - 64,"ISCED 2011, level 3 – Upper secondary education",125380
Israel,2022,Both Sexes,60 - 64,"ISCED 2011, level 5 – Short-cycle tertiary education",46116
Israel,2022,Both Sexes,60 - 64,"ISCED 2011, level 6 – Bachelor’s or equivalent level",59936
Israel,2022,Both Sexes,60 - 64,"ISCED 2011, level 7 – Master’s or equivalent level",49707
Israel,2022,Both Sexes,60 - 64,"ISCED 2011, level 8 – Doctoral or equivalent level",4603
Israel,2022,Both Sexes,60 - 64,"ISCED 2011, Unknown",10200
Israel,2022,Both Sexes,60 - 64,"ISCED 2011, Total",380801
Israel,2022,Both Sexes,65 - 69,"ISCED 2011, No education",16475
Israel,2022,Both Sexes,65 - 69,"ISCED 2011, level 2 – Lower secondary education",70551
