Episode,Seed,Sparsity,Total Steps,Reward,Completion Rate
1,566940,0.5,191,111.2821964,0.691
2,485158,0.5,174,100.6019681,0.674
3,616181,0.7,194,113.6107349,0.694
4,37204,0.7,164,76.4631581,0.464
5,120720,0.7,235,113.4711849,0.535
6,801021,0.7,149,68.36106865,0.449
7,820764,0.3,160,73.17377101,0.46
8,278531,0.3,116,77.49200398,0.816
9,644048,0.5,173,118.7717715,0.873
10,863581,0.5,114,63.81204024,0.614
11,863067,0.7,143,81.06758294,0.643
12,397761,0.3,163,74.26186553,0.463
13,609107,0.5,165,113.7063911,0.865
14,71407,0.7,130,74.26501027,0.63
15,300305,0.5,252,121.588446,0.552
16,546567,0.7,181,104.408849,0.681
17,916899,0.7,93,40.90674616,0.393
18,843868,0.3,146,66.91901417,0.446
19,566224,0.3,140,95.1109266,0.84
20,188158,0.5,136,91.54303727,0.836
21,537631,0.5,129,72.35574335,0.629
22,940535,0.7,138,77.92734352,0.638
23,775439,0.7,215,102.3903195,0.515
24,414846,0.7,161,74.70467171,0.461
25,950323,0.7,200,93.79054037,0.5
26,416774,0.5,110,48.09361254,0.41
27,487512,0.7,207,121.201072,0.707
28,44898,0.7,82,35.05296798,0.382
29,281801,0.7,198,92.51994807,0.498
30,854245,0.5,136,61.94976453,0.436
31,142060,0.5,162,92.53199553,0.662
32,849329,0.7,173,99.15658155,0.673
33,582391,0.3,162,74.67604959,0.462
34,814656,0.3,144,97.18917298,0.844
35,518362,0.3,127,85.42229903,0.827
36,368159,0.7,123,83.03900331,0.823
37,433677,0.5,124,55.50384076,0.424
38,924969,0.5,185,106.6531457,0.685
39,709727,0.5,181,104.6477807,0.681
40,350054,0.7,215,126.8563145,0.715
41,139409,0.3,182,85.71295109,0.482
42,879135,0.7,112,75.3319754,0.812
43,511394,0.5,123,56.36902483,0.423
44,197094,0.5,164,93.10361353,0.664
45,200218,0.3,152,87.04368046,0.652
46,234814,0.3,126,85.23007599,0.826
47,223957,0.5,125,83.70390388,0.825
48,565597,0.7,126,70.97001964,0.626
49,639352,0.3,157,72.23761646,0.457
50,140193,0.3,104,69.8787581,0.804
51,991737,0.3,137,92.6191045,0.837
52,604007,0.5,175,120.4676419,0.875
53,912031,0.3,104,58.37280816,0.604
54,27250,0.3,119,80.01433378,0.819
55,82484,0.3,97,64.65809339,0.797
56,670531,0.5,179,123.4281339,0.879
57,490731,0.3,81,44.64499047,0.581
58,949058,0.7,174,119.8313476,0.874
59,399509,0.5,100,43.77410892,0.4
60,108520,0.5,194,113.6686074,0.694
61,323874,0.7,221,130.6954637,0.721
62,960321,0.5,140,64.10242543,0.44
63,179303,0.7,143,81.1075452,0.643
64,742630,0.3,127,57.21762602,0.427
65,879590,0.7,81,53.60754231,0.781
66,35309,0.5,143,64.88607803,0.443
67,239888,0.7,155,88.37612608,0.655
68,131719,0.7,205,98.28800002,0.505
69,75615,0.5,117,52.29178345,0.417
70,282811,0.3,142,81.61161721,0.642
71,257107,0.5,168,115.2451205,0.868
72,876960,0.3,94,52.30665001,0.594
73,638787,0.3,160,109.2992768,0.86
74,985498,0.5,101,67.20191836,0.801
75,697190,0.7,125,70.33391279,0.625
76,953145,0.3,128,56.52768841,0.428
77,908228,0.7,166,114.0059219,0.866
78,164071,0.5,129,58.71619695,0.429
79,867043,0.5,197,115.4277737,0.697
80,600749,0.3,186,107.9274542,0.686
81,971281,0.3,151,102.6450071,0.851
82,752156,0.7,126,84.92687997,0.826
83,490214,0.5,152,69.75207311,0.452
